subject_id,layout,rtlx,mentalDemand,physicalDemand,temporalDemand,performance,effort,frustration
32,nav-led,51.666666666666664,45,65,50,35,55,60
32,balanced,48.333333333333336,40,60,45,40,50,55
32,sr-led,55.0,50,70,55,30,60,65
33,sr-led,60.0,60,75,60,20,70,75
33,nav-led,55.833333333333336,50,70,55,25,65,70
33,balanced,52.5,45,65,50,30,60,65
34,nav-led,54.166666666666664,50,70,50,30,60,65
34,balanced,50.833333333333336,45,65,45,35,55,60
34,sr-led,47.5,40,60,40,40,50,55
35,nav-led,56.666666666666664,55,70,55,25,65,70
35,balanced,53.333333333333336,50,65,50,30,60,65
35,sr-led,50.0,45,60,45,35,55,60
36,sr-led,48.333333333333336,40,60,45,40,50,55
36,nav-led,51.666666666666664,45,65,50,35,55,60
36,balanced,55.0,50,70,55,30,60,65
37,nav-led,64.16666666666667,70,80,65,15,75,80
37,balanced,60.0,60,75,60,20,70,75
37,sr-led,56.666666666666664,55,70,55,25,65,70
38,nav-led,50.833333333333336,45,65,45,35,55,60
38,balanced,47.5,40,60,40,40,50,55
38,sr-led,45.0,35,55,40,45,45,50
39,balanced,60.833333333333336,65,75,60,20,70,75
39,sr-led,56.666666666666664,55,70,55,25,65,70
39,nav-led,53.333333333333336,50,65,50,30,60,65
40,sr-led,25.333333333333332,21,25,26,19,35,26
40,nav-led,62.833333333333336,64,67,66,54,72,54
40,balanced,16.166666666666668,20,17,13,13,20,14
41,sr-led,23.833333333333332,19,29,20,25,23,27
41,nav-led,63.666666666666664,68,63,60,63,59,69
41,balanced,19.0,28,9,14,22,21,20
42,nav-led,65.83333333333333,68,62,72,65,70,58
42,balanced,19.5,22,18,25,15,20,17
42,sr-led,15.666666666666666,18,15,20,12,16,13
43,balanced,18.5,19,17,23,14,21,17
43,sr-led,16.5,18,18,21,12,18,12
43,nav-led,64.0,71,62,67,61,64,59
44,balanced,15.0,19,17,19,12,13,10
44,sr-led,4.0,0,3,3,7,6,5
44,nav-led,56.0,68,63,52,49,60,44
45,balanced,12.333333333333334,18,10,11,9,10,16
45,sr-led,11.166666666666666,14,6,8,12,7,20
45,nav-led,24.0,16,21,39,23,24,21
46,balanced,8.666666666666666,11,20,16,4,0,1
46,sr-led,2.1666666666666665,1,0,1,8,2,1
46,nav-led,19.166666666666668,14,30,17,22,19,13
47,nav-led,18.166666666666668,33,22,15,10,10,19
47,balanced,8.5,9,13,8,5,10,6
47,sr-led,8.333333333333334,7,8,6,4,18,7
48,nav-led,72.16666666666667,79,61,69,66,79,79
48,balanced,4.666666666666667,10,0,3,6,3,6
48,sr-led,2.6666666666666665,5,0,2,5,1,3
49,nav-led,62.333333333333336,53,73,63,61,65,59
49,balanced,13.5,14,12,11,18,14,12
49,sr-led,23.0,17,39,32,25,12,13
50,nav-led,36.0,36,34,38,36,37,35
50,balanced,36.0,36,38,39,35,35,33
50,sr-led,31.166666666666668,29,31,31,30,32,34
51,nav-led,43.5,22,43,34,49,52,61
51,balanced,17.333333333333332,27,21,17,19,20,0
51,sr-led,5.333333333333333,10,8,4,5,0,5
52,balanced,32.666666666666664,30,29,38,32,31,36
52,sr-led,13.166666666666666,14,9,17,13,17,9
52,nav-led,59.0,64,51,68,46,57,68
53,nav-led,65.0,58,58,75,63,65,71
53,balanced,38.666666666666664,35,49,29,35,41,43
53,sr-led,15.0,14,20,7,15,19,15
54,sr-led,12.5,17,10,20,5,13,10
54,nav-led,59.0,52,68,56,55,67,56
54,balanced,37.166666666666664,36,42,44,27,41,33
55,balanced,37.333333333333336,39,48,35,32,41,29
55,sr-led,11.833333333333334,10,17,20,8,10,6
55,nav-led,63.0,60,52,77,62,59,68
56,sr-led,10.0,9,19,11,6,6,9
56,nav-led,60.166666666666664,50,58,71,50,61,71
56,balanced,36.166666666666664,37,49,30,37,27,37
57,balanced,35.666666666666664,36,28,46,38,36,30
57,sr-led,12.0,16,12,6,13,14,11
57,nav-led,58.166666666666664,53,51,61,56,62,66
58,sr-led,10.5,7,11,21,12,5,7
58,nav-led,67.0,64,63,76,64,66,69
58,balanced,35.833333333333336,35,35,44,28,26,47
59,nav-led,60.166666666666664,63,52,68,52,74,52
59,balanced,37.0,41,49,27,31,38,36
59,sr-led,11.666666666666666,13,10,8,11,11,17
60,nav-led,65.16666666666667,68,67,56,67,63,70
60,balanced,39.0,40,50,37,42,26,39
60,sr-led,12.0,6,19,19,12,10,6
61,sr-led,11.166666666666666,16,17,6,4,10,14
61,nav-led,57.0,51,64,53,51,65,58
61,balanced,39.666666666666664,36,33,46,37,45,41
62,sr-led,12.5,4,17,19,8,10,17
62,nav-led,62.166666666666664,56,66,59,60,74,58
62,balanced,37.666666666666664,30,41,45,24,39,47
63,balanced,36.666666666666664,37,45,40,31,29,38
63,sr-led,12.833333333333334,15,19,16,4,19,4
63,nav-led,59.166666666666664,61,62,53,55,75,49
64,balanced,35.166666666666664,40,47,35,32,30,27
64,sr-led,13.0,13,6,14,13,19,13
64,nav-led,60.0,74,52,52,64,57,61
65,sr-led,10.166666666666666,7,9,8,13,13,11
65,nav-led,61.0,59,59,73,50,57,68
65,balanced,35.333333333333336,26,42,31,38,41,34
66,nav-led,65.83333333333333,72,62,77,50,65,69
66,balanced,36.0,39,30,29,41,34,43
66,sr-led,10.5,12,6,10,4,15,16
