subject_id,layout,rtlx,mentalDemand,physicalDemand,temporalDemand,performance,effort,frustration
23,nav-led,48.333333333333336,55.0,35.0,50.0,65.0,45.0,40.0
23,balanced,45.0,50.0,30.0,45.0,70.0,40.0,35.0
24,balanced,41.666666666666664,40.0,25.0,45.0,75.0,35.0,30.0
24,sr-led,51.666666666666664,60.0,40.0,55.0,60.0,50.0,45.0
24,nav-led,45.833333333333336,50.0,30.0,50.0,70.0,40.0,35.0
25,nav-led,49.166666666666664,55.0,35.0,55.0,65.0,45.0,40.0
25,balanced,55.0,65.0,45.0,60.0,55.0,55.0,50.0
25,sr-led,45.833333333333336,50.0,30.0,50.0,70.0,40.0,35.0
26,nav-led,40.0,40.0,25.0,40.0,80.0,30.0,25.0
26,balanced,44.166666666666664,50.0,30.0,45.0,75.0,35.0,30.0
26,sr-led,47.5,55.0,35.0,50.0,70.0,40.0,35.0
27,balanced,51.666666666666664,60.0,40.0,55.0,60.0,50.0,45.0
27,sr-led,55.0,65.0,45.0,60.0,55.0,55.0,50.0
27,nav-led,49.166666666666664,55.0,35.0,55.0,65.0,45.0,40.0
28,balanced,45.833333333333336,50.0,30.0,50.0,70.0,40.0,35.0
28,sr-led,49.166666666666664,55.0,35.0,55.0,65.0,45.0,40.0
28,nav-led,52.5,60.0,40.0,60.0,60.0,50.0,45.0
29,nav-led,40.0,40.0,25.0,40.0,80.0,30.0,25.0
29,balanced,44.166666666666664,50.0,30.0,45.0,75.0,35.0,30.0
29,sr-led,47.5,55.0,35.0,50.0,70.0,40.0,35.0
30,sr-led,49.166666666666664,55.0,35.0,55.0,65.0,45.0,40.0
30,nav-led,52.5,60.0,40.0,60.0,60.0,50.0,45.0
30,balanced,55.0,65.0,45.0,60.0,55.0,55.0,50.0
31,balanced,39.166666666666664,35.0,25.0,40.0,80.0,30.0,25.0
31,sr-led,43.333333333333336,45.0,30.0,45.0,75.0,35.0,30.0
31,nav-led,47.5,55.0,35.0,50.0,70.0,40.0,35.0
32,nav-led,48.333333333333336,55.0,35.0,50.0,65.0,45.0,40.0
32,balanced,51.666666666666664,60.0,40.0,55.0,60.0,50.0,45.0
32,sr-led,45.0,50.0,30.0,45.0,70.0,40.0,35.0
33,sr-led,40.0,40.0,25.0,40.0,80.0,30.0,25.0
33,nav-led,44.166666666666664,50.0,30.0,45.0,75.0,35.0,30.0
33,balanced,47.5,55.0,35.0,50.0,70.0,40.0,35.0
34,nav-led,45.833333333333336,50.0,30.0,50.0,70.0,40.0,35.0
34,balanced,49.166666666666664,55.0,35.0,55.0,65.0,45.0,40.0
34,sr-led,52.5,60.0,40.0,60.0,60.0,50.0,45.0
35,nav-led,43.333333333333336,45.0,30.0,45.0,75.0,35.0,30.0
35,balanced,46.666666666666664,50.0,35.0,50.0,70.0,40.0,35.0
35,sr-led,50.0,55.0,40.0,55.0,65.0,45.0,40.0
36,sr-led,51.666666666666664,60.0,40.0,55.0,60.0,50.0,45.0
36,nav-led,48.333333333333336,55.0,35.0,50.0,65.0,45.0,40.0
36,balanced,45.0,50.0,30.0,45.0,70.0,40.0,35.0
37,nav-led,35.833333333333336,30.0,20.0,35.0,85.0,25.0,20.0
37,balanced,40.0,40.0,25.0,40.0,80.0,30.0,25.0
37,sr-led,43.333333333333336,45.0,30.0,45.0,75.0,35.0,30.0
38,nav-led,49.166666666666664,55.0,35.0,55.0,65.0,45.0,40.0
38,balanced,52.5,60.0,40.0,60.0,60.0,50.0,45.0
38,sr-led,55.0,65.0,45.0,60.0,55.0,55.0,50.0
39,balanced,39.166666666666664,35.0,25.0,40.0,80.0,30.0,25.0
39,sr-led,43.333333333333336,45.0,30.0,45.0,75.0,35.0,30.0
39,nav-led,46.666666666666664,50.0,35.0,50.0,70.0,40.0,35.0
40,sr-led,74.66666666666667,79.0,75.0,74.0,81.0,65.0,74.0
40,nav-led,37.166666666666664,36.0,33.0,34.0,46.0,28.0,46.0
40,balanced,83.83333333333333,80.0,83.0,87.0,87.0,80.0,86.0
41,sr-led,76.16666666666667,81.0,71.0,80.0,75.0,77.0,73.0
41,nav-led,36.333333333333336,32.0,37.0,40.0,37.0,41.0,31.0
41,balanced,81.0,72.0,91.0,86.0,78.0,79.0,80.0
42,nav-led,34.166666666666664,32.0,38.0,28.0,35.0,30.0,42.0
42,balanced,80.5,78.0,82.0,75.0,85.0,80.0,83.0
42,sr-led,84.33333333333333,82.0,85.0,80.0,88.0,84.0,87.0
43,balanced,81.5,81.0,83.0,77.0,86.0,79.0,83.0
43,sr-led,83.5,82.0,82.0,79.0,88.0,82.0,88.0
43,nav-led,36.0,29.0,38.0,33.0,39.0,36.0,41.0
44,balanced,85.0,81.0,83.0,81.0,88.0,87.0,90.0
44,sr-led,96.0,100.0,97.0,97.0,93.0,94.0,95.0
44,nav-led,44.0,32.0,37.0,48.0,51.0,40.0,56.0
45,balanced,87.66666666666667,82.0,90.0,89.0,91.0,90.0,84.0
45,sr-led,88.83333333333333,86.0,94.0,92.0,88.0,93.0,80.0
45,nav-led,76.0,84.0,79.0,61.0,77.0,76.0,79.0
46,balanced,91.33333333333333,89.0,80.0,84.0,96.0,100.0,99.0
46,sr-led,97.83333333333333,99.0,100.0,99.0,92.0,98.0,99.0
46,nav-led,80.83333333333333,86.0,70.0,83.0,78.0,81.0,87.0
47,nav-led,81.83333333333333,67.0,78.0,85.0,90.0,90.0,81.0
47,balanced,91.5,91.0,87.0,92.0,95.0,90.0,94.0
47,sr-led,91.66666666666667,93.0,92.0,94.0,96.0,82.0,93.0
48,nav-led,27.833333333333332,21.0,39.0,31.0,34.0,21.0,21.0
48,balanced,95.33333333333333,90.0,100.0,97.0,94.0,97.0,94.0
48,sr-led,97.33333333333333,95.0,100.0,98.0,95.0,99.0,97.0
49,nav-led,37.666666666666664,47.0,27.0,37.0,39.0,35.0,41.0
49,balanced,86.5,86.0,88.0,89.0,82.0,86.0,88.0
49,sr-led,77.0,83.0,61.0,68.0,75.0,88.0,87.0
50,nav-led,64.0,64.0,66.0,62.0,64.0,63.0,65.0
50,balanced,64.0,64.0,62.0,61.0,65.0,65.0,67.0
50,sr-led,68.83333333333333,71.0,69.0,69.0,70.0,68.0,66.0
51,nav-led,56.5,78.0,57.0,66.0,51.0,48.0,39.0
51,balanced,82.66666666666667,73.0,79.0,83.0,81.0,80.0,100.0
51,sr-led,94.66666666666667,90.0,92.0,96.0,95.0,100.0,95.0
52,balanced,67.33333333333333,70.0,71.0,62.0,68.0,69.0,64.0
52,sr-led,86.83333333333333,86.0,91.0,83.0,87.0,83.0,91.0
52,nav-led,41.0,36.0,49.0,32.0,54.0,43.0,32.0
53,nav-led,35.0,42.0,42.0,25.0,37.0,35.0,29.0
53,balanced,61.333333333333336,65.0,51.0,71.0,65.0,59.0,57.0
53,sr-led,85.0,86.0,80.0,93.0,85.0,81.0,85.0
54,sr-led,87.5,83.0,90.0,80.0,95.0,87.0,90.0
54,nav-led,41.0,48.0,32.0,44.0,45.0,33.0,44.0
54,balanced,62.833333333333336,64.0,58.0,56.0,73.0,59.0,67.0
55,balanced,62.666666666666664,61.0,52.0,65.0,68.0,59.0,71.0
55,sr-led,88.16666666666667,90.0,83.0,80.0,92.0,90.0,94.0
55,nav-led,37.0,40.0,48.0,23.0,38.0,41.0,32.0
56,sr-led,90.0,91.0,81.0,89.0,94.0,94.0,91.0
56,nav-led,39.833333333333336,50.0,42.0,29.0,50.0,39.0,29.0
56,balanced,63.833333333333336,63.0,51.0,70.0,63.0,73.0,63.0
57,balanced,64.33333333333333,64.0,72.0,54.0,62.0,64.0,70.0
57,sr-led,88.0,84.0,88.0,94.0,87.0,86.0,89.0
57,nav-led,41.833333333333336,47.0,49.0,39.0,44.0,38.0,34.0
58,sr-led,89.5,93.0,89.0,79.0,88.0,95.0,93.0
58,nav-led,33.0,36.0,37.0,24.0,36.0,34.0,31.0
58,balanced,64.16666666666667,65.0,65.0,56.0,72.0,74.0,53.0
59,nav-led,39.833333333333336,37.0,48.0,32.0,48.0,26.0,48.0
59,balanced,63.0,59.0,51.0,73.0,69.0,62.0,64.0
59,sr-led,88.33333333333333,87.0,90.0,92.0,89.0,89.0,83.0
60,nav-led,34.833333333333336,32.0,33.0,44.0,33.0,37.0,30.0
60,balanced,61.0,60.0,50.0,63.0,58.0,74.0,61.0
60,sr-led,88.0,94.0,81.0,81.0,88.0,90.0,94.0
61,sr-led,88.83333333333333,84.0,83.0,94.0,96.0,90.0,86.0
61,nav-led,43.0,49.0,36.0,47.0,49.0,35.0,42.0
61,balanced,60.333333333333336,64.0,67.0,54.0,63.0,55.0,59.0
62,sr-led,87.5,96.0,83.0,81.0,92.0,90.0,83.0
62,nav-led,37.833333333333336,44.0,34.0,41.0,40.0,26.0,42.0
62,balanced,62.333333333333336,70.0,59.0,55.0,76.0,61.0,53.0
63,balanced,63.333333333333336,63.0,55.0,60.0,69.0,71.0,62.0
63,sr-led,87.16666666666667,85.0,81.0,84.0,96.0,81.0,96.0
63,nav-led,40.833333333333336,39.0,38.0,47.0,45.0,25.0,51.0
64,balanced,64.83333333333333,60.0,53.0,65.0,68.0,70.0,73.0
64,sr-led,87.0,87.0,94.0,86.0,87.0,81.0,87.0
64,nav-led,40.0,26.0,48.0,48.0,36.0,43.0,39.0
65,sr-led,89.83333333333333,93.0,91.0,92.0,87.0,87.0,89.0
65,nav-led,39.0,41.0,41.0,27.0,50.0,43.0,32.0
65,balanced,64.66666666666667,74.0,58.0,69.0,62.0,59.0,66.0
66,nav-led,34.166666666666664,28.0,38.0,23.0,50.0,35.0,31.0
66,balanced,64.0,61.0,70.0,71.0,59.0,66.0,57.0
66,sr-led,89.5,88.0,94.0,90.0,96.0,85.0,84.0
