subject_id,layout,rt,hit
47,sr-led,1088.7999999523163,True
48,balanced,1116.2999999523163,True
48,sr-led,993.7000000476837,True
48,nav-led,2116.7000000476837,True
49,balanced,1361.1999998092651,True
49,sr-led,1075.0999999046326,True
49,nav-led,3213.5999999046326,True
50,nav-led,5821.100000143051,False
50,balanced,1755.6000001430511,True
50,sr-led,1108.1000001430511,True
51,sr-led,1177.8999996185303,True
51,nav-led,1167.4000000953674,True
51,balanced,1349.8000001907349,True
52,nav-led,2372.5,True
52,balanced,1241.7,True
52,sr-led,1379.2,True
53,sr-led,1316.2,True
53,nav-led,2682.9,True
53,balanced,1019.5,True
54,sr-led,869.0,True
54,nav-led,2671.0,True
54,balanced,1258.5,True
55,nav-led,1821.5,True
55,balanced,1393.1,True
55,sr-led,1193.9,True
56,nav-led,1941.0,True
56,balanced,1568.1,True
56,sr-led,1230.6,True
57,sr-led,1212.3,True
57,nav-led,2229.8,True
57,balanced,1233.0,True
58,balanced,1405.4,True
58,sr-led,1078.0,True
58,nav-led,2748.4,True
59,sr-led,854.2,True
59,nav-led,2526.7,True
59,balanced,1665.3,True
60,sr-led,787.8,True
60,nav-led,1722.4,True
60,balanced,1696.1,True
61,sr-led,1034.7,True
61,nav-led,2643.0,True
61,balanced,1464.8,True
62,balanced,1667.2,True
62,sr-led,1376.8,True
62,nav-led,2734.2,True
63,nav-led,1762.4,True
63,balanced,1315.8,True
63,sr-led,1271.0,True
64,sr-led,800.7,True
64,nav-led,1787.7,True
64,balanced,1361.0,True
65,sr-led,1297.5,True
65,nav-led,2598.3,True
65,balanced,1166.0,True
66,nav-led,2345.5,True
66,balanced,1059.0,True
66,sr-led,865.6,True
