subject_id,age,gender,education,occupation,hasLicense,drivingYears,annualMileage,visionStatus,eft_total,eft_avg_rt
56,40.0,male,本科,汽车行业或HMI交互设计或人因工程相关从业人员,yes,未满1年,<3000公里,正常或矫正视力良好,4.0,5499.5
57,38.0,female,本科,其他行业从业人员,yes,未满1年,>20000公里,正常或矫正视力良好,6.0,3456.5
58,19.0,male,本科,其他行业从业人员,yes,未满1年,>20000公里,正常或矫正视力良好,7.0,4340.9
59,21.0,female,本科,在校学生,yes,3-5年,<3000公里,正常或矫正视力良好,7.0,4181.7
60,34.0,male,大专,汽车行业或HMI交互设计或人因工程相关从业人员,yes,1-3年,>20000公里,正常或矫正视力良好,8.0,4058.4
61,39.0,female,本科,职业驾驶员,yes,1-3年,10000-20000公里,正常或矫正视力良好,6.0,5652.5
62,24.0,female,本科,在校学生,yes,未满1年,10000-20000公里,正常或矫正视力良好,4.0,3431.8
63,35.0,male,本科,在校学生,yes,1-3年,3000-10000公里,正常或矫正视力良好,8.0,4892.6
64,26.0,male,本科,在校学生,yes,1-3年,>20000公里,正常或矫正视力良好,6.0,4848.0
65,35.0,female,本科,职业驾驶员,yes,未满1年,>20000公里,正常或矫正视力良好,7.0,4287.4
66,40.0,male,大专,其他行业从业人员,yes,1-3年,<3000公里,正常或矫正视力良好,6.0,6028.3
